Company,DaysSinceLastLogin,NPS,OpenTickets,ActiveUsers,MRR,RenewalDays,ExpectedHealth
Andes Travel,2,75,0,12,1500,30,Healthy
Patagonia Foods,45,-20,5,3,800,90,Critical
EcoHostel,10,60,1,8,1200,15,Healthy
Comarca Bikes,90,40,7,2,500,120,Critical
Lago Puelo Market,5,85,0,15,2000,60,Healthy
Monteverde Tours,60,70,6,10,2500,10,Contradictory
Tiendanube Local,20,-10,2,5,700,45,Critical
Bosque Café,3,90,0,20,3000,25,Healthy
Refugio Andino,120,50,10,1,400,180,Critical
Artesanos Unidos,15,65,3,7,950,40,Healthy
Turismo Sur,75,-30,8,4,600,90,Critical
Hostería El Maitén,8,80,1,9,1100,20,Healthy
Chubut E-commerce,30,55,4,6,1300,60,Contradictory
Panadería La Comarca,2,95,0,18,2200,35,Healthy
Agrocoop,150,20,12,2,450,200,Critical
Hotel Arrayanes,12,70,2,11,1600,50,Healthy
Río Azul Kayaks,40,60,5,5,900,70,Contradictory
Mercado Verde,25,-15,3,4,750,80,Critical
Estepa Digital,7,85,0,14,2100,30,Healthy
Cabañas El Bosque,60,40,6,3,800,120,Critical
Comarca Tech,18,75,2,9,1400,45,Healthy
Turismo Lago,90,65,9,6,1700,15,Contradictory
Artesanía Sur,5,80,1,13,1900,25,Healthy
Hostel Puelo,100,-25,11,2,500,150,Critical
EcoMarket,8,88,0,16,2300,40,Healthy
Montaña Tours,35,55,4,7,1200,60,Contradictory
Puelo Digital,2,92,0,21,3100,20,Healthy
Comarca Coop,70,30,7,3,650,100,Critical
Hotel Patagonia,15,78,2,10,1500,50,Healthy
Bosque Hostel,50,65,5,6,1000,80,Contradictory
Turismo Andino,120,-10,9,1,400,180,Critical
Panadería Sur,3,90,0,19,2400,30,Healthy
AgroDigital,25,60,3,8,1300,70,Contradictory
Hostería Arrayanes,10,82,1,12,1700,40,Healthy
Comarca Travel,80,45,6,4,850,110,Critical
EcoCafé,6,87,0,17,2600,35,Healthy
Turismo Azul,40,70,5,9,1400,60,Contradictory
Mercado Andino,2,95,0,22,3200,25,Healthy
Bosque Tours,100,-20,10,2,550,160,Critical
Puelo Hostel,12,78,2,11,1500,45,Healthy
